beschreibung,alter,leistung,nutzung,schaltung,tank,co2,alles,verkaufer,ort,nation,price (euro),km,consumption (per 100km),brand,users
M550dA xDrive,"Klimaautomatik, Alarmanlage, Allrad, Seitenairbag, Fahrerairbag, Traktionskontrolle, Elektr. Fensterheber",294 kW (400 PS),Gebraucht,Automatik,Diesel,- (g/km),"BMW M5 M550dA xDriveKlimaautomatik, Alarmanlage, Allrad, Seitenairbag, Fahrerairbag, Traktionskontrolle, Elektr. Fensterheber€ 25.572,-112.511 km06/2018294 kW (400 PS)Gebraucht- (Fahrzeughalter)AutomatikDiesel5,9 l/100 km (komb.)- (g/km)",AUTOHERO,Contáctanos en: • ES-28050 MADRID,spanien,25572,112511,"5,9",BMW,0
1.2 PureTech S&S Shine EAT6 110,03/2021,81 kW (110 PS),Gebraucht,Automatik,Benzin,- (g/km),"Citroen C3 1.2 PureTech S&S Shine EAT6 110€ 14.900,-18.468 km03/202181 kW (110 PS)Gebraucht- (Fahrzeughalter)AutomatikBenzin- (l/100 km)- (g/km)",CRESTANEVADA,Contáctanos en: • ES-18195 GRANADA,spanien,14900,18468,,Citroen,0
1.5BlueHDi Active S&S 130,"ABS, Seitenairbag, Elektr. Fensterheber, Fahrerairbag, Airbag hinten, Alufelgen",96 kW (131 PS),Gebraucht,Schaltgetriebe,Diesel,- (g/km),"Peugeot 3008 1.5BlueHDi Active S&S 130ABS, Seitenairbag, Elektr. Fensterheber, Fahrerairbag, Airbag hinten, Alufelgen€ 23.900,-82.499 km10/201996 kW (131 PS)Gebraucht- (Fahrzeughalter)SchaltgetriebeDiesel4,2 l/100 km (komb.)- (g/km)",HERMANOS GUILLEN CEBALLOS,Contáctanos en: • ES-41530 MORON DE LA FRONTERA,spanien,23900,82499,"4,2",Peugeot,0
530dA Touring,"Seitenairbag, Klimaanlage, Klimaautomatik, Regensensor, Elektr. Fensterheber, Fahrerairbag",195 kW (265 PS),Gebraucht,Automatik,Diesel,- (g/km),"BMW 530 530dA TouringSeitenairbag, Klimaanlage, Klimaautomatik, Regensensor, Elektr. Fensterheber, Fahrerairbag€ 37.500,-28.395 km06/2020195 kW (265 PS)Gebraucht- (Fahrzeughalter)AutomatikDiesel5,2 l/100 km (komb.)- (g/km)",TALLERES HERMINDO MADRID,Contáctanos en: • ES-28034 Madrid,spanien,37500,28395,"5,2",BMW,0
Diesel Tiptronic 300,"ABS, Klimaautomatik, Isofix, Seitenairbag, Fahrerairbag, Beifahrerairbag",221 kW (300 PS),Gebraucht,Automatik,Diesel,- (g/km),"Porsche Panamera Diesel Tiptronic 300ABS, Klimaautomatik, Isofix, Seitenairbag, Fahrerairbag, Beifahrerairbag€ 44.911,-68.120 km07/2015221 kW (300 PS)Gebraucht- (Fahrzeughalter)AutomatikDiesel6,4 l/100 km (komb.)- (g/km)",Ocasionplus Ciudad Real,Contáctanos en: • ES-13005 CIUDAD REAL,spanien,44911,68120,"6,4",Porsche,0
PICASSO MONOVOLUMEN COMPACTO 1.2 PURETECH 130 S&S,Nebelscheinwerfer,96 kW (131 PS),Gebraucht,Schaltgetriebe,Benzin,- (g/km),"Citroen C4 PICASSO MONOVOLUMEN COMPACTO 1.2 PURETECH 130 S&SNebelscheinwerfer€ 12.900,-98.867 km07/201596 kW (131 PS)Gebraucht- (Fahrzeughalter)SchaltgetriebeBenzin- (l/100 km)- (g/km)",VOLKSWAGEN MURCIA,Contáctanos en: • ES-30100 MURCIA,spanien,12900,98867,,Citroen,0
55 quattro Advanced,09/2019,300 kW (408 PS),Gebraucht,Automatik,Elektro,0 g/km (komb.),"ElektrischAudi e-tron 55 quattro Advanced€ 59.250,-30.514 km09/2019300 kW (408 PS)Gebraucht- (Fahrzeughalter)AutomatikElektro- (l/100 km)0 g/km (komb.)","JARMAUTO, concesionario oficial Audi",Contáctanos en: • ES-28529 RIVAS VACIAMADRID,spanien,,30514,,Audi,0
1.5 MHEV Tech,"Alufelgen, Klimaanlage, Klimaautomatik",118 kW (160 PS),Gebraucht,Schaltgetriebe,Benzin,- (g/km),"Kia XCeed 1.5 MHEV TechAlufelgen, Klimaanlage, Klimaautomatik€ 20.590,-38.843 km07/2021118 kW (160 PS)Gebraucht- (Fahrzeughalter)SchaltgetriebeBenzin- (l/100 km)- (g/km)",CLICARS MADRID,Contáctanos en: • ES-28021 MADRID,spanien,20590,38843,,Kia,0
2.0TD4 SE 4WD Aut. 150,"Allrad, Getönte Scheiben, Klimaautomatik, Tempomat, Start/Stop-Automatik",110 kW (150 PS),Gebraucht,Automatik,Diesel,- (g/km),"Land Rover Range Rover Evoque 2.0TD4 SE 4WD Aut. 150Allrad, Getönte Scheiben, Klimaautomatik, Tempomat, Start/Stop-Automatik€ 27.500,-66.909 km04/2018110 kW (150 PS)Gebraucht- (Fahrzeughalter)AutomatikDiesel5,1 l/100 km (komb.)- (g/km)","OPEL AUTOMOVILES NIETO, S.A",Contáctanos en: • ES-29002 Málaga,spanien,27500,66909,"5,1",Land,0
220dA Tourer xDrive,"Allrad, Klimaautomatik, Zentralverriegelung, Fahrerairbag, ABS, Regensensor, ESP",140 kW (190 PS),Gebraucht,Automatik,Diesel,- (g/km),"BMW Active Hybrid X6 220dA Tourer xDriveAllrad, Klimaautomatik, Zentralverriegelung, Fahrerairbag, ABS, Regensensor, ESP€ 17.000,-145.000 km05/2015140 kW (190 PS)Gebraucht- (Fahrzeughalter)AutomatikDiesel4,6 l/100 km (komb.)- (g/km)",INVERSIONES SAMARCA,Contáctanos en: • ES-47008 VALLADOLID,spanien,17000,145000,"4,6",BMW,0
xDrive 30dA,"Seitenairbag, Servolenkung, ESP, Regensensor, Start/Stop-Automatik, Tempomat, Nebelscheinwerfer, Elektr. Fensterheber",190 kW (258 PS),Gebraucht,Automatik,Diesel,- (g/km),"BMW X5 xDrive 30dASeitenairbag, Servolenkung, ESP, Regensensor, Start/Stop-Automatik, Tempomat, Nebelscheinwerfer, Elektr. Fensterheber€ 39.990,-61.200 km06/2018190 kW (258 PS)Gebraucht- (Fahrzeughalter)AutomatikDiesel5,9 l/100 km (komb.)- (g/km)",TALLERES HERMINDO,Contáctanos en: • ES-36860 PONTEAEREAS,spanien,39990,61200,"5,9",BMW,0
Puretech S&S Shine 110,"Nebelscheinwerfer, Getönte Scheiben, Regensensor, ABS, Seitenairbag",81 kW (110 PS),Gebraucht,Schaltgetriebe,Benzin,- (g/km),"Citroen C3 Aircross Puretech S&S Shine 110Nebelscheinwerfer, Getönte Scheiben, Regensensor, ABS, Seitenairbag€ 14.500,-63.200 km03/201981 kW (110 PS)Gebraucht- (Fahrzeughalter)SchaltgetriebeBenzin5 l/100 km (komb.)- (g/km)",TALLERES HERMINDO,Contáctanos en: • ES-36860 PONTEAEREAS,spanien,14500,63200,5,Citroen,0
Sportback 2.0TDI quattro S Tronic 190,APROVECHA NUESTROS DESCUENTOS. CAMPAÑA DE FINANCIACIÓN,140 kW (190 PS),Gebraucht,Automatik,Diesel,- (g/km),"ZurückWeiter1 / 32Audi A5 Sportback 2.0TDI quattro S Tronic 190APROVECHA NUESTROS DESCUENTOS. CAMPAÑA DE FINANCIACIÓNMerkenTeilen€ 21.900,-99.995 km04/2016140 kW (190 PS)Gebraucht- (Fahrzeughalter)AutomatikDiesel5,1 l/100 km (komb.)- (g/km)",Automóviles 3Darc,Contáctanos en: • ES-08030 BARCELONA,spanien,21900,99995,"5,1",Audi,0
320d Gran Turismo,"Multifunktionslenkrad, ESP, Bordcomputer, Servolenkung, Nebelscheinwerfer, Fahrerairbag, Seitenairbag, Zentralverriegelung",135 kW (184 PS),Gebraucht,Schaltgetriebe,Diesel,- (g/km),"ZurückWeiter1 / 50BMW 320 320d Gran TurismoMultifunktionslenkrad, ESP, Bordcomputer, Servolenkung, Nebelscheinwerfer, Fahrerairbag, Seitenairbag, Zentralverriegelung€ 20.900,-141.249 km10/2015135 kW (184 PS)Gebraucht- (Fahrzeughalter)SchaltgetriebeDiesel4,9 l/100 km (komb.)- (g/km)",REYES Y MARTINEZ AUTOMOVILES,Contáctanos en: • ES-23400 UBEDA,spanien,20900,141249,"4,9",BMW,0
1.5 TSI 150,05/2021,110 kW (150 PS),Gebraucht,Schaltgetriebe,Benzin,- (g/km),"Cupra Formentor 1.5 TSI 150€ 24.499,-26.671 km05/2021110 kW (150 PS)Gebraucht- (Fahrzeughalter)SchaltgetriebeBenzin5,4 l/100 km (komb.)- (g/km)","MASTER AUTOMOCION, S.L.",Contáctanos en: • ES-28805 ALCALA DE HENARES,spanien,24499,26671,"5,4",Cupra,0
1.5dCi Acenta 4x2,"Regensensor, Zentralverriegelung, Tempomat, Elektr. Fensterheber, Bluetooth, Wegfahrsperre, USB, Seitenairbag",81 kW (110 PS),Gebraucht,Schaltgetriebe,Diesel,- (g/km),"Nissan Qashqai 1.5dCi Acenta 4x2Regensensor, Zentralverriegelung, Tempomat, Elektr. Fensterheber, Bluetooth, Wegfahrsperre, USB, Seitenairbag€ 11.990,-172.436 km06/201581 kW (110 PS)Gebraucht- (Fahrzeughalter)SchaltgetriebeDiesel3,8 l/100 km (komb.)- (g/km)",TALLERES HERMINDO,Contáctanos en: • ES-36860 PONTEAEREAS,spanien,11990,172436,"3,8",Nissan,0
1.5 MHEV Tech,"Alufelgen, Klimaautomatik, Klimaanlage",118 kW (160 PS),Gebraucht,Schaltgetriebe,Benzin,- (g/km),"Kia XCeed 1.5 MHEV TechAlufelgen, Klimaautomatik, Klimaanlage€ 20.490,-38.704 km07/2021118 kW (160 PS)Gebraucht- (Fahrzeughalter)SchaltgetriebeBenzin- (l/100 km)- (g/km)",CLICARS MADRID,Contáctanos en: • ES-28021 MADRID,spanien,20490,38704,,Kia,0
-CLASS D,Vehículos 2 años de garantía y kilometraje certificado!,210 kW (286 PS),Gebraucht,Automatik,Diesel,- (g/km),"Mercedes-Benz S 350 -CLASS DVehículos 2 años de garantía y kilometraje certificado!€ 68.900,-35.551 km09/2019210 kW (286 PS)Gebraucht- (Fahrzeughalter)AutomatikDiesel- (l/100 km)- (g/km)",DIMOVIL MERCEDES,Contáctanos en: • ES-30100 ESPINARDO,spanien,68900,35551,,Mercedes-Benz,0
F Sport,10/2012,254 kW (345 PS),Gebraucht,Automatik,Elektro/Benzin,- (g/km),"HybridLexus GS 450h F Sport€ 29.000,-74.000 km10/2012254 kW (345 PS)Gebraucht- (Fahrzeughalter)AutomatikElektro/Benzin6,2 l/100 km (komb.)- (g/km)",AUTOMULLER GIRONA.,Contáctanos en: • ES-17005 GIRONA,spanien,,74000,"6,2",Lexus,0
250CDI BE Elegance 4M 7G Plus,"ABS, Regensensor, Bordcomputer, MP3, Klimaautomatik, Elektr. Fensterheber, Allrad, Zentralverriegelung",150 kW (204 PS),Gebraucht,Automatik,Diesel,- (g/km),"Mercedes-Benz C 250 250CDI BE Elegance 4M 7G PlusABS, Regensensor, Bordcomputer, MP3, Klimaautomatik, Elektr. Fensterheber, Allrad, Zentralverriegelung€ 16.800,-196.250 km12/2011150 kW (204 PS)Gebraucht- (Fahrzeughalter)AutomatikDiesel5,4 l/100 km (komb.)- (g/km)",CARSYDREU.com,Contáctanos en: • ES-28522 RIVAS VACIAMADRID,spanien,16800,196250,"5,4",Mercedes-Benz,0
D2 R-Design Momentum 120,"Klimaautomatik, Multifunktionslenkrad, Seitenairbag, ESP, Zentralverriegelung, Fahrerairbag, Beifahrerairbag",88 kW (120 PS),Gebraucht,Schaltgetriebe,Diesel,- (g/km),"Volvo V40 D2 R-Design Momentum 120Klimaautomatik, Multifunktionslenkrad, Seitenairbag, ESP, Zentralverriegelung, Fahrerairbag, Beifahrerairbag€ 18.490,-71.500 km01/201788 kW (120 PS)Gebraucht- (Fahrzeughalter)SchaltgetriebeDiesel3,6 l/100 km (komb.)- (g/km)",GT AUTOS,Contáctanos en: • ES-29004 MALAGA,spanien,18490,71500,"3,6",Volvo,0
220CDI BE Style 7G-DCT,"ABS, USB, ESP, MP3, Xenonscheinwerfer, Elektr. Fensterheber, Fahrerairbag",125 kW (170 PS),Gebraucht,Automatik,Diesel,- (g/km),"Mercedes-Benz A 220 220CDI BE Style 7G-DCTABS, USB, ESP, MP3, Xenonscheinwerfer, Elektr. Fensterheber, Fahrerairbag€ 24.500,-47.000 km10/2016125 kW (170 PS)Gebraucht- (Fahrzeughalter)AutomatikDiesel4,4 l/100 km (komb.)- (g/km)",GUPICAR AUTO MADRID,Contáctanos en: • ES-28649 ROZAS DE PUERTO REAL,spanien,24500,47000,"4,4",Mercedes-Benz,0
216d Active Tourer,"ESP, Seitenairbag, Servolenkung, Nebelscheinwerfer, Elektr. Fensterheber, Isofix, Zentralverriegelung, Regensensor",85 kW (116 PS),Gebraucht,Schaltgetriebe,Diesel,- (g/km),"BMW 216 216d Active TourerESP, Seitenairbag, Servolenkung, Nebelscheinwerfer, Elektr. Fensterheber, Isofix, Zentralverriegelung, Regensensor€ 20.900,-66.873 km06/201985 kW (116 PS)Gebraucht- (Fahrzeughalter)SchaltgetriebeDiesel4 l/100 km (komb.)- (g/km)",BMW LURAUTO GUIPUZKOA,Contáctanos en: • ES-20180 OIARTZUN,spanien,20900,66873,4,BMW,0
Carrera 2 GTS Coupé,12/2019,331 kW (450 PS),Gebraucht,Schaltgetriebe,Benzin,- (g/km),"Porsche 991 Carrera 2 GTS Coupé€ 159.900,-21.692 km12/2019331 kW (450 PS)Gebraucht- (Fahrzeughalter)SchaltgetriebeBenzin9,4 l/100 km (komb.)- (g/km)",Hola Motor Córdoba,Contáctanos en: • ES-14014 CORDOBA,spanien,159900,21692,"9,4",Porsche,0
180H Advance,"Alufelgen, Klimaanlage, Traktionskontrolle",135 kW (184 PS),Gebraucht,Automatik,Elektro/Benzin,- (g/km),"HybridToyota C-HR 180H AdvanceAlufelgen, Klimaanlage, Traktionskontrolle€ 22.174,-70.094 km02/2020135 kW (184 PS)Gebraucht- (Fahrzeughalter)AutomatikElektro/Benzin- (l/100 km)- (g/km)",OCASIONPLUS CASTELLON,Contáctanos en: • ES-12006 CASTELLON,spanien,,70094,,Toyota,0
1.5 BlueHDI S&S Shine EAT8 130,12/2020,96 kW (131 PS),Gebraucht,Automatik,Diesel,- (g/km),"Citroen C4 1.5 BlueHDI S&S Shine EAT8 130€ 20.208,-27.135 km12/202096 kW (131 PS)Gebraucht- (Fahrzeughalter)AutomatikDiesel3,4 l/100 km (komb.)- (g/km)",AUTOHERO SEVILLA,Contáctanos en: • ES-41001 SEVILLA,spanien,20208,27135,"3,4",Citroen,0
Hybrid4 Airdream Desire CMP,"Seitenairbag, Isofix, Beifahrerairbag, Airbag hinten",147 kW (200 PS),Gebraucht,Automatik,Elektro/Diesel,- (g/km),"HybridCitroen DS5 Hybrid4 Airdream Desire CMPSeitenairbag, Isofix, Beifahrerairbag, Airbag hinten€ 13.500,-157.000 km01/2014147 kW (200 PS)Gebraucht- (Fahrzeughalter)AutomatikElektro/Diesel3,3 l/100 km (komb.)- (g/km)",ELECTRICIDAD SORIANO,Contáctanos en: • ES-30510 YECLA,spanien,,157000,"3,3",Citroen,0
Sportback 40 TDI quattro-ultra S line S tronic 150,"Sportsitze, Seitenairbag, ESP, Allrad, Elektr. Fensterheber, Zentralverriegelung, Regensensor, Servolenkung",150 kW (204 PS),Gebraucht,Automatik,Diesel,- (g/km),"Audi Q5 Sportback 40 TDI quattro-ultra S line S tronic 150Sportsitze, Seitenairbag, ESP, Allrad, Elektr. Fensterheber, Zentralverriegelung, Regensensor, Servolenkung€ 66.900,-8.000 km05/2022150 kW (204 PS)Gebraucht- (Fahrzeughalter)AutomatikDiesel5,3 l/100 km (komb.)- (g/km)",AUDI ATALAYA MOTOR,Contáctanos en: • ES-11011 CADIZ,spanien,66900,8000,"5,3",Audi,0
PHEV Kaiteki 4WD,Allrad,138 kW (188 PS),Gebraucht,Automatik,Elektro/Benzin,- (g/km),"HybridMitsubishi Eclipse Cross PHEV Kaiteki 4WDAllrad€ 29.000,-45.000 km03/2021138 kW (188 PS)Gebraucht- (Fahrzeughalter)AutomatikElektro/Benzin- (l/100 km)- (g/km)",QUILES MITSUBISHI GUADALAJARA,Contáctanos en: • ES-19004 GUADALAJARA,spanien,,45000,,Mitsubishi,0
d,Sportpaket,130 kW (177 PS),Gebraucht,Automatik,Diesel,- (g/km),"Mercedes-Benz CLA 220 dSportpaket€ 25.390,-127.740 km05/2018130 kW (177 PS)Gebraucht- (Fahrzeughalter)AutomatikDiesel4,1 l/100 km (komb.)- (g/km)",CLICARS MADRID,Contáctanos en: • ES-28021 MADRID,spanien,25390,127740,"4,1",Mercedes-Benz,0
2.0 TSI ClubSport DSG 265,"Getönte Scheiben, Airbag hinten, Sportfahrwerk, Alarmanlage, Wegfahrsperre, CD, ESP, Nebelscheinwerfer",195 kW (265 PS),Gebraucht,Automatik,Benzin,- (g/km),"Volkswagen Golf GTI 2.0 TSI ClubSport DSG 265Getönte Scheiben, Airbag hinten, Sportfahrwerk, Alarmanlage, Wegfahrsperre, CD, ESP, Nebelscheinwerfer€ 31.900,-57.300 km04/2017195 kW (265 PS)Gebraucht- (Fahrzeughalter)AutomatikBenzin6,9 l/100 km (komb.)- (g/km)",ROBLEDO CARS,Contáctanos en: • ES-24010 LEÓN,spanien,31900,57300,"6,9",Volkswagen,0
180d 7G-DCT,"ABS, Sportsitze, teilb. Rücksitzbank, Elektr. Fensterheber, Fahrerairbag, Elektrische Seitenspiegel",80 kW (109 PS),Gebraucht,Automatik,Diesel,- (g/km),"Mercedes-Benz A 180 180d 7G-DCTABS, Sportsitze, teilb. Rücksitzbank, Elektr. Fensterheber, Fahrerairbag, Elektrische Seitenspiegel€ 24.950,-54.000 km01/201980 kW (109 PS)Gebraucht- (Fahrzeughalter)AutomatikDiesel3,7 l/100 km (komb.)- (g/km)",TALLERES HERMINDO,Contáctanos en: • ES-36860 PONTEAEREAS,spanien,24950,54000,"3,7",Mercedes-Benz,0
2.0 TSI Cupra,"Alufelgen, Alarmanlage, Sportfahrwerk, CD, Seitenairbag, Isofix, MP3, Getönte Scheiben",177 kW (241 PS),Gebraucht,Schaltgetriebe,Benzin,- (g/km),"ZurückWeiter1 / 14SEAT Leon 2.0 TSI CupraAlufelgen, Alarmanlage, Sportfahrwerk, CD, Seitenairbag, Isofix, MP3, Getönte ScheibenMerkenTeilen€ 12.499,-99.000 km12/2007177 kW (241 PS)Gebraucht- (Fahrzeughalter)SchaltgetriebeBenzin8,3 l/100 km (komb.)- (g/km)",CUARTE MOTOR,Contáctanos en: • ES-50410 CUARTE DE HUERVA,spanien,12499,99000,"8,3",SEAT,0
TCe GPF Energy Limited 66kW,"Alufelgen, Klimaautomatik",66 kW (90 PS),Gebraucht,Schaltgetriebe,Benzin,- (g/km),"ZurückWeiter1 / 13Renault Clio TCe GPF Energy Limited 66kWAlufelgen, Klimaautomatik€ 10.790,-60.535 km11/201866 kW (90 PS)Gebraucht- (Fahrzeughalter)SchaltgetriebeBenzin4,7 l/100 km (komb.)- (g/km)",CLICARS MADRID,Contáctanos en: • ES-28021 MADRID,spanien,10790,60535,"4,7",Renault,0
W D22T Premium 4x2,"Alufelgen, Klimaautomatik",131 kW (178 PS),Gebraucht,Schaltgetriebe,Diesel,- (g/km),"SsangYong REXTON W D22T Premium 4x2Alufelgen, Klimaautomatik€ 17.190,-75.048 km12/2017131 kW (178 PS)Gebraucht- (Fahrzeughalter)SchaltgetriebeDiesel6,8 l/100 km (komb.)- (g/km)",CLICARS MADRID,Contáctanos en: • ES-28021 MADRID,spanien,17190,75048,"6,8",SsangYong,0
2.0 TSI 220,"ESP, Sportfahrwerk, Sportsitze, Alarmanlage, Start/Stop-Automatik, Bordcomputer, Isofix, Servolenkung",162 kW (220 PS),Gebraucht,Schaltgetriebe,Benzin,- (g/km),"Volkswagen Golf GTI 2.0 TSI 220ESP, Sportfahrwerk, Sportsitze, Alarmanlage, Start/Stop-Automatik, Bordcomputer, Isofix, Servolenkung€ 17.000,-115.000 km10/2013162 kW (220 PS)Gebraucht- (Fahrzeughalter)SchaltgetriebeBenzin6,4 l/100 km (komb.)- (g/km)",GESTIONCAR Montmeló,Contáctanos en: • ES-08160 MONTMELÓ,spanien,17000,115000,"6,4",Volkswagen,0
M6A Coupé,"Sportsitze, Alarmanlage, Seitenairbag, Alufelgen, Freisprecheinrichtung, Tempomat, Xenonscheinwerfer, Regensensor",412 kW (560 PS),Gebraucht,Automatik,Benzin,- (g/km),"BMW M6 M6A CoupéSportsitze, Alarmanlage, Seitenairbag, Alufelgen, Freisprecheinrichtung, Tempomat, Xenonscheinwerfer, Regensensor€ 49.980,-110.000 km10/2014412 kW (560 PS)Gebraucht- (Fahrzeughalter)AutomatikBenzin9,9 l/100 km (komb.)- (g/km)",DREAM CARS,Contáctanos en: • ES-28982 PARLA,spanien,49980,110000,"9,9",BMW,0
2.0TDI quattro S-Tronic 140kW,Allrad,140 kW (190 PS),Gebraucht,Automatik,Diesel,- (g/km),"Audi A6 2.0TDI quattro S-Tronic 140kWAllrad€ 23.590,-59.087 km02/2017140 kW (190 PS)Gebraucht- (Fahrzeughalter)AutomatikDiesel5 l/100 km (komb.)- (g/km)",CLICARS MADRID,Contáctanos en: • ES-28021 MADRID,spanien,23590,59087,5,Audi,0
T8 Twin Inscription AWD 407,"Klimaautomatik, Regensensor, Schiebedach, Elektr. Fensterheber, Servolenkung, ESP",300 kW (408 PS),Gebraucht,Automatik,Elektro/Benzin,- (g/km),"HybridVolvo XC90 T8 Twin Inscription AWD 407Klimaautomatik, Regensensor, Schiebedach, Elektr. Fensterheber, Servolenkung, ESP€ 67.900,-22.834 km07/2020300 kW (408 PS)Gebraucht- (Fahrzeughalter)AutomatikElektro/Benzin2,1 l/100 km (komb.)- (g/km)",AUTOMOVILES GABILONDO,Contáctanos en: • ES-47011 VALLADOLID,spanien,,22834,"2,1",Volvo,0
2.0TDI R-Line DSG 110kW,01/2018,110 kW (150 PS),Gebraucht,Automatik,Diesel,- (g/km),"Volkswagen Tiguan 2.0TDI R-Line DSG 110kW€ 31.990,-99.860 km01/2018110 kW (150 PS)Gebraucht- (Fahrzeughalter)AutomatikDiesel- (l/100 km)- (g/km)",GT AUTOS,Contáctanos en: • ES-29004 MALAGA,spanien,31990,99860,,Volkswagen,0
,04/2022,135 kW (184 PS),Tageszulassung,Automatik,Elektro,0 g/km (komb.),"ElektrischMINI Cooper SE € 32.900,-3.216 km04/2022135 kW (184 PS)Tageszulassung- (Fahrzeughalter)AutomatikElektro- (l/100 km)0 g/km (komb.)",BMW BERNESGA MOTOR,Contáctanos en: • ES-24010 SAN ANDRES DEL RABANEDO,spanien,,3216,,MINI,0
1.5 TSI ACT Advance 110kW,"Servolenkung, Seitenairbag, Zentralverriegelung, Elektr. Fensterheber, USB, ESP, Multifunktionslenkrad, Regensensor",110 kW (150 PS),Gebraucht,Schaltgetriebe,Benzin,- (g/km),"Volkswagen Passat 1.5 TSI ACT Advance 110kWServolenkung, Seitenairbag, Zentralverriegelung, Elektr. Fensterheber, USB, ESP, Multifunktionslenkrad, Regensensor€ 18.663,-37.309 km04/2019110 kW (150 PS)Gebraucht- (Fahrzeughalter)SchaltgetriebeBenzin5,3 l/100 km (komb.)- (g/km)",AUTOHERO SEVILLA,Contáctanos en: • ES-41001 SEVILLA,spanien,18663,37309,"5,3",Volkswagen,0
BlueHdi 96kW (130CV) S&S Feel,05/2022,96 kW (131 PS),Tageszulassung,Schaltgetriebe,Diesel,- (g/km),"Citroen C5 Aircross BlueHdi 96kW (130CV) S&S Feel€ 25.990,-1 km05/202296 kW (131 PS)Tageszulassung- (Fahrzeughalter)SchaltgetriebeDiesel5 l/100 km (komb.)- (g/km)",ARAMOVIL,Contáctanos en: • ES-50012 ZARAGOZA,spanien,25990,1,5,Citroen,0
1.2 Puretech Feel Pack EAT8 130,06/2022,96 kW (131 PS),Tageszulassung,Automatik,Benzin,- (g/km),"Citroen C5 X 1.2 Puretech Feel Pack EAT8 130€ 28.000,-1 km06/202296 kW (131 PS)Tageszulassung- (Fahrzeughalter)AutomatikBenzin- (l/100 km)- (g/km)",ARAMÓVIL,Contáctanos en: • ES-50012 ZARAGOZA,spanien,28000,1,,Citroen,0
sDrive 18d,"ESP, Seitenairbag, Nebelscheinwerfer",110 kW (150 PS),Gebraucht,Automatik,Diesel,- (g/km),"BMW X1 sDrive 18dESP, Seitenairbag, Nebelscheinwerfer€ 20.783,-69.118 km07/2017110 kW (150 PS)Gebraucht- (Fahrzeughalter)AutomatikDiesel4,6 l/100 km (komb.)- (g/km)",OCASIONPLUS CASTELLON,Contáctanos en: • ES-12006 CASTELLON,spanien,20783,69118,"4,6",BMW,0
2.0TDI Multitronic,"Seitenairbag, MP3, Klimaautomatik, Airbag hinten, Fahrerairbag, Servolenkung, Isofix",130 kW (177 PS),Gebraucht,Automatik,Diesel,- (g/km),"Audi A6 2.0TDI MultitronicSeitenairbag, MP3, Klimaautomatik, Airbag hinten, Fahrerairbag, Servolenkung, Isofix€ 14.900,-166.000 km03/2011130 kW (177 PS)Gebraucht- (Fahrzeughalter)AutomatikDiesel5 l/100 km (komb.)- (g/km)",GVO CUENCA,Contáctanos en: • ES-16004 CUENCA,spanien,14900,166000,5,Audi,0
2.2 Diesel Veloce ATX 210,10/2022,155 kW (211 PS),Tageszulassung,Automatik,Diesel,- (g/km),"Alfa Romeo Giulia 2.2 Diesel Veloce ATX 210€ 51.000,-10 km10/2022155 kW (211 PS)Tageszulassung- (Fahrzeughalter)AutomatikDiesel5,2 l/100 km (komb.)- (g/km)",TAYRE AUTOMOCION- Concesionario Oficial,Contáctanos en: • ES-28002 MADRID,spanien,51000,10,"5,2",Alfa,0
1.5 eTSI Life,07/2020,110 kW (150 PS),Gebraucht,Automatik,Elektro/Benzin,- (g/km),"HybridVolkswagen Golf 1.5 eTSI Life€ 24.117,-48.939 km07/2020110 kW (150 PS)Gebraucht- (Fahrzeughalter)AutomatikElektro/Benzin- (l/100 km)- (g/km)",AUTOHERO,Contáctanos en: • ES-28050 MADRID,spanien,,48939,,Volkswagen,0
1.0 EcoBoost Trend,"Klimaautomatik, Alufelgen, Beifahrerairbag, Seitenairbag, Isofix, Zentralverriegelung, Elektrische Seitenspiegel",74 kW (101 PS),Gebraucht,Schaltgetriebe,Benzin,- (g/km),"Ford B-Max 1.0 EcoBoost TrendKlimaautomatik, Alufelgen, Beifahrerairbag, Seitenairbag, Isofix, Zentralverriegelung, Elektrische Seitenspiegel€ 9.900,-34.420 km10/201274 kW (101 PS)Gebraucht- (Fahrzeughalter)SchaltgetriebeBenzin5,1 l/100 km (komb.)- (g/km)",WEBYCAR TARRAGONA,Contáctanos en: • ES-43006 TARRAGONA,spanien,9900,34420,"5,1",Ford,0
2.0HDI Exclusive Aut. 160,"Xenonscheinwerfer, ABS, Klimaautomatik, MP3, Nebelscheinwerfer, Zentralverriegelung",120 kW (163 PS),Gebraucht,Automatik,Diesel,- (g/km),"Citroen C5 2.0HDI Exclusive Aut. 160Xenonscheinwerfer, ABS, Klimaautomatik, MP3, Nebelscheinwerfer, Zentralverriegelung€ 13.999,-68.489 km01/2015120 kW (163 PS)Gebraucht- (Fahrzeughalter)AutomatikDiesel6,2 l/100 km (komb.)- (g/km)",AUTOHERO BARCELONA,Contáctanos en: • ES-8903 SANT ADRIÀ DE BESÒS,spanien,13999,68489,"6,2",Citroen,0
